asn=0    	id=-1  	Main	copying configuration file E:\tsch-new-manual\tsch-sim\examples\exampleTegveer\config.json to output directory E:\tsch-new-manual\tsch-sim\results\2022-01-05_23-56-29\config.json[MAIN]
asn=0    	id=-1  	Main	initializing 1200 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 4 "node" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	generating a line network with 4 nodes
asn=0    	id=1   	Main	set position x=0.00 y=0.00[SIMULATOR]
asn=0    	id=2   	Main	set position x=117.37 y=0.00[SIMULATOR]
asn=0    	id=3   	Main	set position x=234.74 y=0.00[SIMULATOR]
asn=0    	id=4   	Main	set position x=352.10 y=0.00[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	about to add cells at channel offset=2 called by node 1 [SCHEDULER NEW]
asn=0    	id=1   	Node	Add cell in timeslot: 2 channel offset: 2 in slotframe: 1
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	Node	Start method called from Manual Routing for 1
asn=0    	id=1   	Node	Route File Read successfully [ROUTING MANUAL]
asn=0    	id=1   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=0    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=1   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=2   	Node	Slotframe number 1 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=2   	TSCH	about to add cells at channel offset=1 called by node 2 [SCHEDULER NEW]
asn=0    	id=2   	Node	Add cell in timeslot: 2 channel offset: 2 in slotframe: 1
asn=0    	id=2   	Node	Add cell in timeslot: 3 channel offset: 3 in slotframe: 1
asn=0    	id=2   	Node	error: add cell: too large timeslot=3
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	Node	scanning on channel=20...[NODE]
asn=0    	id=3   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=3   	Node	Slotframe number 1 added from node: 3 [NODE]
asn=0    	id=3   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=3   	TSCH	about to add cells at channel offset=2 called by node 3 [SCHEDULER NEW]
asn=0    	id=3   	Node	Add cell in timeslot: 3 channel offset: 3 in slotframe: 1
asn=0    	id=3   	Node	error: add cell: too large timeslot=3
asn=0    	id=3   	Node	Add cell in timeslot: 4 channel offset: 4 in slotframe: 1
asn=0    	id=3   	Node	error: add cell: too large timeslot=4
asn=0    	id=3   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=3   	Node	update time source called [NODE]
asn=0    	id=3   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=3   	Node	scanning on channel=26...[NODE]
asn=0    	id=4   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=4   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=4   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=4   	Node	Slotframe number 1 added from node: 4 [NODE]
asn=0    	id=4   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=4   	TSCH	about to add cells at channel offset=1 called by node 4 [SCHEDULER NEW]
asn=0    	id=4   	Node	Add cell in timeslot: 4 channel offset: 4 in slotframe: 1
asn=0    	id=4   	Node	error: add cell: too large timeslot=4
asn=0    	id=4   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=4   	Node	update time source called [NODE]
asn=0    	id=4   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=4   	Node	scanning on channel=25...[NODE]
asn=3    	id=2   	Node	add neighbor id=1 [NODE]
asn=3    	id=2   	Node	Add_route called from ensure neighbor
asn=3    	id=2   	TSCH	joined/associated at 0.03 on receiving an EB packet from 1[NODE]
asn=3    	id=2   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=3    	id=2   	Node	update time source called [NODE]
asn=3    	id=2   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=3    	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3    	id=2   	Node	Start method called from Manual Routing for 2
asn=3    	id=2   	Node	Route File Read successfully [ROUTING MANUAL]
asn=3    	id=2   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=3    	id=2   	Node	Reading routes for Node 2 [ROUTING MANUAL]
asn=3    	id=2   	Node	Destination = 1, Nexthop = 1 [ROUTING MANUAL]
asn=3    	id=2   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 2
asn=3    	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3    	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3    	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=3    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=100  	id=4   	Node	scanning on channel=20...[NODE]
asn=100  	id=3   	Node	scanning on channel=20...[NODE]
asn=200  	id=4   	Node	scanning on channel=26...[NODE]
asn=301  	id=4   	Node	scanning on channel=25...[NODE]
asn=301  	id=3   	Node	scanning on channel=26...[NODE]
asn=402  	id=4   	Node	scanning on channel=26...[NODE]
asn=480  	id=1   	Node	add neighbor id=2 [NODE]
asn=480  	id=1   	Node	Add_route called from ensure neighbor
asn=480  	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=480  	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=503  	id=4   	Node	scanning on channel=25...[NODE]
asn=604  	id=4   	Node	scanning on channel=15...[NODE]
asn=705  	id=4   	Node	scanning on channel=26...[NODE]
asn=806  	id=4   	Node	scanning on channel=15...[NODE]
asn=806  	id=3   	Node	scanning on channel=15...[NODE]
asn=907  	id=4   	Node	scanning on channel=20...[NODE]
asn=907  	id=3   	Node	scanning on channel=26...[NODE]
asn=1008 	id=3   	Node	scanning on channel=20...[NODE]
asn=1109 	id=4   	Node	scanning on channel=25...[NODE]
asn=1109 	id=3   	Node	scanning on channel=25...[NODE]
asn=1210 	id=4   	Node	scanning on channel=20...[NODE]
asn=1210 	id=3   	Node	scanning on channel=15...[NODE]
asn=1311 	id=4   	Node	scanning on channel=26...[NODE]
asn=1311 	id=3   	Node	scanning on channel=26...[NODE]
asn=1380 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1380 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=1380 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1412 	id=3   	Node	scanning on channel=25...[NODE]
asn=1513 	id=4   	Node	scanning on channel=25...[NODE]
asn=1513 	id=3   	Node	scanning on channel=26...[NODE]
asn=1613 	id=3   	Node	scanning on channel=20...[NODE]
asn=1713 	id=4   	Node	scanning on channel=20...[NODE]
