asn=0    	id=-1  	Main	copying configuration file E:\test-projects\TSCH_experiment\my_experiment\13NodeExp\configManual.json to output directory E:\test-projects\TSCH_experiment\results\2022-02-16_02-14-18\configManual.json[MAIN]
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	Setting the communication Range(UDGM/pathloss/pister) [link_model]
asn=0    	id=-1  	TSCH	calling  Manual Routing [Routing_Manual]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 1 "node" type nodes ...[SIMULATOR]
asn=0    	id=-1  	Node	Keys for Node Type node
asn=0    	id=-1  	Node	Key: NAME
asn=0    	id=-1  	Node	Key: START_ID
asn=0    	id=-1  	Node	Key: COUNT
asn=0    	id=-1  	Main	Adding Node_ID: "1" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	creating 3 "node" type nodes ...[SIMULATOR]
asn=0    	id=-1  	Node	Keys for Node Type node
asn=0    	id=-1  	Node	Key: NAME
asn=0    	id=-1  	Node	Key: START_ID
asn=0    	id=-1  	Node	Key: COUNT
asn=0    	id=-1  	Node	Key: APP_PACKETS
asn=0    	id=-1  	Main	Adding Node_ID: "2" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	Adding Node_ID: "3" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	Adding Node_ID: "4" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	creating 7 "node" type nodes ...[SIMULATOR]
asn=0    	id=-1  	Node	Keys for Node Type node
asn=0    	id=-1  	Node	Key: NAME
asn=0    	id=-1  	Node	Key: START_ID
asn=0    	id=-1  	Node	Key: COUNT
asn=0    	id=-1  	Node	Key: APP_PACKETS
asn=0    	id=-1  	Main	Adding Node_ID: "5" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	Adding Node_ID: "6" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	Adding Node_ID: "7" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	Adding Node_ID: "8" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	Adding Node_ID: "9" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	Adding Node_ID: "10" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	Adding Node_ID: "11" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	creating 1 "node" type nodes ...[SIMULATOR]
asn=0    	id=-1  	Node	Keys for Node Type node
asn=0    	id=-1  	Node	Key: NAME
asn=0    	id=-1  	Node	Key: START_ID
asn=0    	id=-1  	Node	Key: COUNT
asn=0    	id=-1  	Node	Key: APP_PACKETS
asn=0    	id=-1  	Main	Adding Node_ID: "12" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	creating 1 "node" type nodes ...[SIMULATOR]
asn=0    	id=-1  	Node	Keys for Node Type node
asn=0    	id=-1  	Node	Key: NAME
asn=0    	id=-1  	Node	Key: START_ID
asn=0    	id=-1  	Node	Key: COUNT
asn=0    	id=-1  	Node	Key: APP_PACKETS
asn=0    	id=-1  	Main	Adding Node_ID: "13" to the Network  [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=1, X= 20, Y =25 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=2, X= 22, Y =22 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=3, X= 17, Y =22 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=4, X= 17, Y =27 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=5, X= 26, Y =22 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=6, X= 22, Y =19 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=7, X= 17, Y =19 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=8, X= 22, Y =16 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=9, X= 20, Y =14 [SIMULATOR]
