asn=0    	id=-1  	Main	copying configuration file E:\test-projects\TSCH_experiment\examples\twoNodeExmp\configManual.json to output directory E:\test-projects\TSCH_experiment\results\2022-01-26_11-18-20\configManual.json[MAIN]
asn=0    	id=-1  	Main	initializing 1200 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 1 "root" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 3 "leaf" nodes...[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	Main	warning: node 3 of type "leaf" has no valid connections[SIMULATOR]
asn=0    	id=-1  	Main	warning: node 4 of type "leaf" has no valid connections[SIMULATOR]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=5 [SCHEDULER NEW]
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	about to add cells at channel offset=2 called by node 1 [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 3 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 3 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 2 in slotframe: 1
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 3 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 2 channel offset: 2 in slotframe: 1
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	Node	Start method called from Manual Routing for 1
asn=0    	id=1   	Node	Route File Read successfully [ROUTING MANUAL]
asn=0    	id=1   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=0    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=1   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=5 [SCHEDULER NEW]
asn=0    	id=2   	Node	Slotframe number 1 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=2   	TSCH	about to add cells at channel offset=3 called by node 2 [SCHEDULER NEW]
asn=0    	id=2   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	Node	scanning on channel=20...[NODE]
asn=0    	id=3   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=5 [SCHEDULER NEW]
asn=0    	id=3   	Node	Slotframe number 1 added from node: 3 [NODE]
asn=0    	id=3   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=3   	TSCH	about to add cells at channel offset=4 called by node 3 [SCHEDULER NEW]
asn=0    	id=3   	Node	Add cell in timeslot: 1 channel offset: 2 in slotframe: 1
asn=0    	id=3   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=3   	Node	update time source called [NODE]
asn=0    	id=3   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=3   	Node	scanning on channel=26...[NODE]
asn=0    	id=4   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=4   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=4   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=5 [SCHEDULER NEW]
asn=0    	id=4   	Node	Slotframe number 1 added from node: 4 [NODE]
asn=0    	id=4   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=4   	TSCH	about to add cells at channel offset=1 called by node 4 [SCHEDULER NEW]
asn=0    	id=4   	Node	Add cell in timeslot: 2 channel offset: 2 in slotframe: 1
asn=0    	id=4   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=4   	Node	update time source called [NODE]
asn=0    	id=4   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=4   	Node	scanning on channel=25...[NODE]
asn=5    	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=5    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=100  	id=4   	Node	scanning on channel=26...[NODE]
asn=100  	id=2   	Node	scanning on channel=26...[NODE]
asn=100  	id=3   	Node	scanning on channel=15...[NODE]
asn=200  	id=4   	Node	scanning on channel=25...[NODE]
asn=200  	id=2   	Node	scanning on channel=20...[NODE]
asn=200  	id=3   	Node	scanning on channel=20...[NODE]
asn=301  	id=4   	Node	scanning on channel=26...[NODE]
asn=301  	id=3   	Node	scanning on channel=25...[NODE]
asn=402  	id=2   	Node	scanning on channel=26...[NODE]
asn=402  	id=3   	Node	scanning on channel=26...[NODE]
asn=503  	id=2   	Node	scanning on channel=15...[NODE]
asn=503  	id=3   	Node	scanning on channel=20...[NODE]
asn=604  	id=4   	Node	scanning on channel=25...[NODE]
asn=604  	id=2   	Node	scanning on channel=25...[NODE]
asn=604  	id=3   	Node	scanning on channel=26...[NODE]
asn=705  	id=4   	Node	scanning on channel=15...[NODE]
asn=705  	id=2   	Node	scanning on channel=26...[NODE]
asn=806  	id=4   	Node	scanning on channel=26...[NODE]
asn=806  	id=2   	Node	scanning on channel=15...[NODE]
asn=806  	id=3   	Node	scanning on channel=15...[NODE]
asn=907  	id=4   	Node	scanning on channel=20...[NODE]
asn=907  	id=2   	Node	scanning on channel=26...[NODE]
asn=907  	id=3   	Node	scanning on channel=20...[NODE]
asn=1008 	id=2   	Node	scanning on channel=25...[NODE]
asn=1008 	id=3   	Node	scanning on channel=25...[NODE]
asn=1109 	id=2   	Node	scanning on channel=15...[NODE]
asn=1109 	id=3   	Node	scanning on channel=26...[NODE]
asn=1210 	id=4   	Node	scanning on channel=26...[NODE]
asn=1210 	id=2   	Node	scanning on channel=26...[NODE]
asn=1311 	id=4   	Node	scanning on channel=20...[NODE]
asn=1380 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=1380 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1412 	id=3   	Node	scanning on channel=25...[NODE]
asn=1412 	id=4   	Node	scanning on channel=25...[NODE]
asn=1513 	id=3   	Node	scanning on channel=20...[NODE]
asn=1513 	id=2   	Node	scanning on channel=20...[NODE]
asn=1513 	id=4   	Node	scanning on channel=15...[NODE]
asn=1613 	id=3   	Node	scanning on channel=26...[NODE]
asn=1613 	id=2   	Node	scanning on channel=26...[NODE]
asn=1613 	id=4   	Node	scanning on channel=25...[NODE]
asn=1713 	id=3   	Node	scanning on channel=20...[NODE]
asn=1713 	id=4   	Node	scanning on channel=15...[NODE]
asn=1813 	id=3   	Node	scanning on channel=26...[NODE]
asn=1813 	id=4   	Node	scanning on channel=25...[NODE]
asn=1913 	id=3   	Node	scanning on channel=20...[NODE]
asn=1913 	id=4   	Node	scanning on channel=20...[NODE]
asn=2013 	id=3   	Node	scanning on channel=25...[NODE]
asn=2013 	id=2   	Node	scanning on channel=25...[NODE]
asn=2113 	id=3   	Node	scanning on channel=15...[NODE]
asn=2113 	id=2   	Node	scanning on channel=26...[NODE]
asn=2113 	id=4   	Node	scanning on channel=26...[NODE]
asn=2213 	id=3   	Node	scanning on channel=20...[NODE]
asn=2213 	id=2   	Node	scanning on channel=20...[NODE]
