asn=0    	id=-1  	Main	copying configuration file E:\tsch-new-manual\tsch-sim\examples\twoNodeExmp\configManual.json to output directory E:\tsch-new-manual\tsch-sim\results\2022-01-17_18-10-32\configManual.json[MAIN]
asn=0    	id=-1  	Main	initializing 1200 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 1 "root" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 1 "leaf" nodes...[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=2 [SCHEDULER NEW]
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	about to add cells at channel offset=1 called by node 1 [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 1 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	Node	Start method called from Manual Routing for 1
asn=0    	id=1   	Node	Route File Read successfully [ROUTING MANUAL]
asn=0    	id=1   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=0    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=1   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=2 [SCHEDULER NEW]
asn=0    	id=2   	Node	Slotframe number 1 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=2   	TSCH	about to add cells at channel offset=1 called by node 2 [SCHEDULER NEW]
asn=0    	id=2   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	Node	scanning on channel=15...[NODE]
asn=2    	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=2    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=301  	id=2   	Node	scanning on channel=20...[NODE]
asn=402  	id=2   	Node	scanning on channel=26...[NODE]
asn=503  	id=2   	Node	scanning on channel=25...[NODE]
asn=705  	id=2   	Node	scanning on channel=26...[NODE]
asn=907  	id=2   	Node	scanning on channel=15...[NODE]
asn=1008 	id=2   	Node	scanning on channel=25...[NODE]
asn=1109 	id=2   	Node	scanning on channel=20...[NODE]
asn=1311 	id=2   	Node	scanning on channel=26...[NODE]
asn=1412 	id=2   	Node	scanning on channel=20...[NODE]
asn=1438 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=1438 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1513 	id=2   	Node	scanning on channel=26...[NODE]
asn=1913 	id=2   	Node	scanning on channel=15...[NODE]
asn=2013 	id=2   	Node	scanning on channel=20...[NODE]
asn=2113 	id=2   	Node	scanning on channel=25...[NODE]
asn=2313 	id=2   	Node	scanning on channel=26...[NODE]
asn=2413 	id=2   	Node	scanning on channel=15...[NODE]
asn=2513 	id=2   	Node	scanning on channel=26...[NODE]
asn=2813 	id=2   	Node	scanning on channel=15...[NODE]
asn=2834 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=2834 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2913 	id=2   	Node	scanning on channel=20...[NODE]
asn=3013 	id=2   	Node	scanning on channel=26...[NODE]
asn=3113 	id=2   	Node	scanning on channel=20...[NODE]
asn=3314 	id=2   	Node	scanning on channel=25...[NODE]
asn=3516 	id=2   	Node	scanning on channel=20...[NODE]
asn=3617 	id=2   	Node	scanning on channel=15...[NODE]
asn=3718 	id=2   	Node	scanning on channel=26...[NODE]
asn=4058 	id=2   	Node	add neighbor id=1 [NODE]
asn=4058 	id=2   	Node	Add_route called from ensure neighbor
asn=4058 	id=2   	TSCH	joined/associated at 40.58 on receiving an EB packet from 1[NODE]
asn=4058 	id=2   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=4058 	id=2   	Node	update time source called [NODE]
asn=4058 	id=2   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=4058 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4058 	id=2   	Node	Start method called from Manual Routing for 2
asn=4058 	id=2   	Node	Route File Read successfully [ROUTING MANUAL]
asn=4058 	id=2   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=4058 	id=2   	Node	Reading routes for Node 2 [ROUTING MANUAL]
asn=4058 	id=2   	Node	Destination = 1, Nexthop = 1 [ROUTING MANUAL]
asn=4058 	id=2   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 2
asn=4058 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4058 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4058 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=4058 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=5572 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=5572 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=5572 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=6001 	id=-1  	Main	60 seconds, progress 5.00%[SIMULATOR]
asn=6001 	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=6001 	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=6001 	id=-1  	TSCH	Periodic process called for [Node]
asn=6001 	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=6001 	id=1   	TSCH	stats: {"idle_listen":5995,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":0,"tx_data":5,"tx_data_rx_ack":0}[NODE]
asn=6001 	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=6001 	id=2   	TSCH	stats: {"idle_listen":1942,"channel_scan":4058,"rx_data":0,"rx_data_tx_ack":0,"tx_data":0,"tx_data_rx_ack":0}[NODE]
asn=6934 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=6934 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=6934 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=7059 	id=2   	Node	send keepalive packet to=1[NODE]
asn=7059 	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=7059 	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=7059 	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=7059 	id=2   	TSCH	Node: 2  length: 1 on packet ready
asn=7059 	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 1, co: 1]
asn=7059 	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: -1], channel offset=1 timeslot=1[SCHEDULER NEW]
asn=7059 	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=7059 	id=1   	Node	add neighbor id=2 [NODE]
asn=7059 	id=1   	Node	Add_route called from ensure neighbor
asn=7059 	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 1 acked=true, remove packet[NODE]
asn=7059 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=7059 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=8450 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
